17/11/22 20:49;ide;['пїЅ', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10']
17/11/22 20:49;name;['пїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅ пїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅ пїЅпїЅ']
17/11/22 20:49;birthday;['пїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ', '10.05.1985', '23.02.1965', '11.10.1990', '07.08.1998', '19.03.2004', '29.12.1987', '13.02.2012', '15.06.1998', '10.10.1910', '30.07.1968']
17/11/22 20:49;work;['пїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅпїЅпїЅ', 'пїЅпїЅпїЅ пїЅпїЅпїЅпїЅ']
17/11/22 20:49;telephone;['пїЅпїЅпїЅпїЅпїЅпїЅпїЅ', '89274536776', '89336548989', '89274534455', '89034563488', '89442315665', '89998789192', '89016713243', '13029997433', '16893964040', '14025657490']
17/11/22 21:07;ide;['№', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10']
17/11/22 21:07;name;['Имя', 'Василий Алибабаевич', 'Макар Сильный', 'Чук Серверный', 'Гек Южный', 'Веня Прытко', 'Семен Кале', 'Броня Потерс', 'Джон Малкович', 'Гай Ричи', 'Брюс Ли']
17/11/22 21:07;birthday;['День Рождения', '10.05.1985', '23.02.1965', '11.10.1990', '07.08.1998', '19.03.2004', '29.12.1987', '13.02.2012', '15.06.1998', '10.10.1910', '30.07.1968']
17/11/22 21:07;work;['Место Работы', 'Астрахань', 'Владимир', 'Суздаль', 'Курган', 'Тверь', 'Казань', 'Магадан', 'Канзас Сити', 'Сиетл', 'Нью Йорк']
17/11/22 21:07;telephone;['Телефон', '89274536776', '89336548989', '89274534455', '89034563488', '89442315665', '89998789192', '89016713243', '13029997433', '16893964040', '14025657490']
17/11/22 21:08;ide;['№', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10']
17/11/22 21:08;name;['Имя', 'Василий Алибабаевич', 'Макар Сильный', 'Чук Серверный', 'Гек Южный', 'Веня Прытко', 'Семен Кале', 'Броня Потерс', 'Джон Малкович', 'Гай Ричи', 'Брюс Ли']
17/11/22 21:08;birthday;['День Рождения', '10.05.1985', '23.02.1965', '11.10.1990', '07.08.1998', '19.03.2004', '29.12.1987', '13.02.2012', '15.06.1998', '10.10.1910', '30.07.1968']
17/11/22 21:08;work;['Место Работы', 'Астрахань', 'Владимир', 'Суздаль', 'Курган', 'Тверь', 'Казань', 'Магадан', 'Канзас Сити', 'Сиетл', 'Нью Йорк']
17/11/22 21:08;telephone;['Телефон', '89274536776', '89336548989', '89274534455', '89034563488', '89442315665', '89998789192', '89016713243', '13029997433', '16893964040', '14025657490']
